Fiber ID,Column Number,Row Number,X location in mm,Y location in mm,Radial distance in mm from center,X location in arcsec,Y location in arcsec,Non-telecentricity in arcmin,Non-telecentricity in degree,Radial distance in arcsec from center,Group
1,-13,-6,-2.405,-1.923,3.079013641,-10.63321808,-8.500280294,17.24,0.2873333333,13.61323224,1
2,-11,-6,-2.035,-1.923,2.799558001,-8.99733838,-8.500280294,15.68,0.2613333333,12.37767599,1
3,-9,-6,-1.665,-1.923,2.543329511,-7.361458674,-8.500280294,14.24,0.2373333333,11.24481387,2
4,-7,-6,-1.295,-1.923,2.318043356,-5.725578969,-8.500280294,12.98,0.2163333333,10.24875698,2
5,-5,-6,-0.925,-1.923,2.13352408,-4.089699263,-8.500280294,11.95,0.1991666667,9.43294255,2
6,-3,-6,-0.555,-1.923,2.001080958,-2.453819558,-8.500280294,11.21,0.1868333333,8.847372237,3
7,-1,-6,-0.185,-1.923,1.931456704,-0.8179398527,-8.500280294,10.82,0.1803333333,8.539542768,3
8,1,-6,0.185,-1.923,1.931456704,0.8179398527,-8.500280294,10.82,0.1803333333,8.539542768,6
9,3,-6,0.555,-1.923,2.001080958,2.453819558,-8.500280294,11.21,0.1868333333,8.847372237,6
10,5,-6,0.925,-1.923,2.13352408,4.089699263,-8.500280294,11.95,0.1991666667,9.43294255,7
11,7,-6,1.295,-1.923,2.318043356,5.725578969,-8.500280294,12.98,0.2163333333,10.24875698,7
12,9,-6,1.665,-1.923,2.543329511,7.361458674,-8.500280294,14.24,0.2373333333,11.24481387,7
13,11,-6,2.035,-1.923,2.799558001,8.99733838,-8.500280294,15.68,0.2613333333,12.37767599,8
14,13,-6,2.405,-1.923,3.079013641,10.63321808,-8.500280294,17.24,0.2873333333,13.61323224,8
15,14,-5,2.59,-1.602,3.045484362,11.45115794,-7.083566912,17.06,0.2843333333,13.46498935,8
16,12,-5,2.22,-1.602,2.737749989,9.815278232,-7.083566912,15.33,0.2555,12.10440445,8
17,10,-5,1.85,-1.602,2.447319963,8.179398527,-7.083566912,13.71,0.2285,10.82032719,7
18,8,-5,1.48,-1.602,2.181117833,6.543518821,-7.083566912,12.21,0.2035,9.643368642,7
19,6,-5,1.11,-1.602,1.949095944,4.907639116,-7.083566912,10.92,0.182,8.617531079,7
20,4,-5,0.74,-1.602,1.764787523,3.271759411,-7.083566912,9.88,0.1646666667,7.802648899,6
21,2,-5,0.37,-1.602,1.644315967,1.635879705,-7.083566912,9.21,0.1535,7.270008432,6
22,0,-5,0,-1.602,1.602146997,0,-7.083566912,8.97,0.1495,7.083566912,6
23,-2,-5,-0.37,-1.602,1.644315967,-1.635879705,-7.083566912,9.21,0.1535,7.270008432,3
24,-4,-5,-0.74,-1.602,1.764787523,-3.271759411,-7.083566912,9.88,0.1646666667,7.802648899,3
25,-6,-5,-1.11,-1.602,1.949095944,-4.907639116,-7.083566912,10.92,0.182,8.617531079,3
26,-8,-5,-1.48,-1.602,2.181117833,-6.543518821,-7.083566912,12.21,0.2035,9.643368642,2
27,-10,-5,-1.85,-1.602,2.447319963,-8.179398527,-7.083566912,13.71,0.2285,10.82032719,2
